,职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息,,,,,,,,,,,,,,,,,,,,
295,数据分析实习生,https://www.lagou.com/jobs/6280950.html,徐汇区,3k-4k,哈步数据科技（上海）有限公司,应届毕业生,本科,外资高管团队；公司文化好；已获多轮融资,【数据分析实习生】1、支持咨询项目，协助数据科学家/分析师完成数据清理、统计分析、特征工程、机器学习建模、可视化、咨询报告撰写等需求2、协助数据科学家进行数据产品后台模型算法的研究与原型开发3、协助数据科学家/分析师完成自动化数据报表、模块化分析工具等解决方案的开发4、协助团队完成其他日常工作【我们希望你】1、本科（第三年及以上）/研究生在读，数据科学、商业分析、统计、计算机、数学、经济等相关专业优先2、熟悉和掌握SQL语句3、熟悉Python编程语言y优先4、 高效的执行力，责任心强，自我驱动5、一定的独立思考和解决问题的能力，良好的沟通能力和团队合作精神6、具有数据分析和可视化经验、熟悉常用机器学习模型与算法者优先7、尽快开始实习，每周至少实习3天及以上，实习期至少3个月【我们为你提供】1、一对一导师，团队均拥有国内外顶尖名校背景和丰富行业经验2、团队定期学习分享机制，内部丰富的案例与学习资源3、活力而友好的团队氛围，不定期聚餐与活动4、表现优秀者有转正留用机会,,,,,,,,,,,,,,,,,,,,
296,数据分析实习生,https://www.lagou.com/jobs/6249687.html,普陀区,3k-5k,上海爱奇尔贸易有限公司,应届毕业生,本科,跨国财团,弹性工作，有留用转正机会,职位描述：1、协助公司平台/产品中数据预处理、可视化、统计建模等分析内容的设计和实现，协同产品经理、技术开发人员等设计完善公司平台/产品的逻辑、架构与功能；2、支撑项目需求，协助项目过程中数据梳理、数据预处理、统计建模、可视化等一系列分析内容的设计、实现与展现；3、负责核心数据标准、数据规范、口径管理、原数据管理、数据清洗等工作；4、通过数据分析，发现运营中的问题，帮助排除业务隐患、解决业务异常问题，通过数据分析，挖掘问题，提供相关决策依据。任职资格:1、本科三年级及以上，统计学、数学、计算机科学、数量经济或相关专业全日制本科及以上学历，有较强的数学功底和数据挖掘功底；2、具备一定的数据基础（SQL、R、Python、SPSS等），有相关项目经验者优先；3、逻辑清晰，思维缜密；4、实习时间：每周3天以上。,,,,,,,,,,,,,,,,,,,
297,数据分析师,https://www.lagou.com/jobs/5469285.html,徐汇区,10k-16k,赛仕软件（北京）有限公司上海分公司,应届毕业生,硕士,全球最佳雇主,岗位职责：\xa0\xa01.\xa0负责SAS\xa0EG/EM/Viya等统计分析软件的需求调研、数据探查与预处理，模型设计开发、部署等；\xa02.\xa0负责SAS\xa0CI/SFM/FNA/IFRS\xa09等解决方案的应用开发。任职要求：\xa0\xa0\xa01.\xa0统计学/计算机相关专业，硕士以上学历，英语口语流利者优先；\xa02.\xa0熟练掌握一种编程语言，Python或Java优先；3.\xa0熟练掌握一种数据库系统，SQL熟练者优先；\xa04.\xa0熟练Linux操作系统及Shell/Perl脚本，对操作系统、网络和安全、存储、中间件、HA等有全面的认识；\xa05.\xa0熟悉Hadoop/Spark的系统架构设计；理解大数据处理技术及实现方法，如流计算、分布式计算、分布式存储等；\xa06.\xa0具有良好的表达和沟通能力，善于解决问题，能够承受较大的工作压力。,,,,,,,,,,,,,,,,,,,,
298,数据分析专家,https://www.lagou.com/jobs/6300173.html,浦东新区,33k-43k,上海鑫炜网络科技有限公司,5-10年,本科,项目奖金 各种津贴 福利,岗位职责：1. 深入了解业务数据，为需求方提取数据，输出专题性分析报告；2. 优化和完善所属方向的数据分析体系，包括KPI指标体系、报表体系、专题分析体系；3. 沉淀分析思路与框架，提炼数据产品需求，协作并推动数据产品落地；4. 通过数据分析、数据挖掘，推动数据化运营。任职要求：1. 数学、计算机、统计学等相关专业本科以上学历，5年以上相关工作经历;2. 熟悉Hive SQL，熟悉大数据开发环境；3. 熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，有优秀的商业sense;4. 良好的数据敏感度,能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模的经验；5. 有数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的优先。,,,,,,,,,,,,,,,,,,,
299,数据分析师,https://www.lagou.com/jobs/3876729.html,浦东新区,15k-18k,上海银行,3-5年,本科,正式编制,餐补车贴,带薪年假,八险一金,岗位职责:1、\xa0负责与信用卡客户行为和经营相关的数据分析2、\xa0参与业务需求的调研、分析3、\xa0负责对经营异常情况进行深入分析并提出独立的判断4、\xa0对业务需求提供数据支持、对业务需求提供建议5、\xa0完成领导交办的其他工作\xa0\xa0任职要求：1、全日制本科及以上学历，35周岁以下2、3年以上银行、互联网或金融机构数据分析及建模相关工作经验3、统计学、数学、计算机或电子工程等方向相关专业本科或以上学历，有扎实的数据统计专业知识4、熟练使用数理统计、数据分析、数据挖掘工具软件（SAS、R、python语言等的一种或多种），熟练操作excel，ppt5、对数据敏感，对数据分析应用于业务有强烈兴趣，并且具备这种能力6、主动性强，有较强的责任心及道德感，积极向上的工作态度,有团队协作精神,,,,,,,,,,,,,,,,
300,数据分析岗,https://www.lagou.com/jobs/5961739.html,徐汇区,15k-20k,平安健康互联网股份有限公司上海分公司,3-5年,本科,上市公司，互联网医疗，独角兽，薪资福利佳,工作职责：1、负责业务指标数据定义，数据维护和报表开发，建立线上数据监控分析体系；2、负责日常流量和用户行为分析，指导产品、运营优化；3、定期出具数据分析报告，内容涵盖app新功能/模块效果分析，大型促销活动效果分析，商城销售优化建议等等；4、对核心业务数据进行挖掘，归纳用户特征和行为规律，支持业务更好地发展；\xa0任职要求：1、逻辑思维能力强，冷静，灵活；2、本科及以上学历，统计学、计算机等相关专业；3、有3年以上数据相关经验，熟悉数据库sql语言，具备自助取4数能力，对互联网有热情；5、有互联网公司从业背景优先。,,,,,,,,,,,,,,,,,,,,
301,风险数据分析师,https://www.lagou.com/jobs/6244724.html,浦东新区,18k-25k,瑞庭网络技术（上海）有限公司,1-3年,本科,福利待遇发展前景好,1.负责分析消费金融平台的各项数据、表现；\xa02.监控平台运营的各种指标，设计报表，及时预警异常数据；3.与产品、技术等合作部门沟通协作，根据产品需求及业务目标制定对应的策略，推动相关需求落地，并及时了解前端部门需求和变化，适配业务需求；4. 监测和分析平台风险政策与策略的执行情况和效果，监测和分析外部经济环境、监管政策和法规要求，持续优化平台风险政策流程，有效利用流量；5.评估模型的效果，设计模型的使用方法，监测跟踪模型的效果与使用模型的线上策略的效果，快速迭代。,,,,,,,,,,,,,,,,,,,,
303,数据分析师,https://www.lagou.com/jobs/3962779.html,宝山区,8K-10K,杭州拓端数据科技有限公司,1-3年,本科,弹性,高薪,自宅工作,工作范围：＊中国国内主要电商平台和社交网络平台数据分析／insight整理＊有效的整理和活用已经获得的数据，并且能够将其变成具体的可视化模型＊中国国内主要产业市场insight报告书制作相关履历：＊有数据分析相关行业工作经验＊在申请时，请递交由本人亲自撰写的相关分析报告书优待政策：＊市场数据分析，市场竞争者或消费者动向相关工作者＊为了商业发展而制定过KPI计划或报告书的工作者＊英文报告书完成者，英文能力优秀者＊中文和英文同时流利使用的人才＊统计学、数学，或相关专业毕业生,,,,,,,,,,,,,,,,,,
304,数据分析师,https://www.lagou.com/jobs/6218721.html,静安区,10k-20k,上海欧睿供应链管理有限公司,3-5年,本科,晋升空间大,管理规范,扁平管理,岗位职责：1. 针对项目的实际需求，设计数据分析方案；2. 负责售前、实施过程的数据分析支撑性工作；3. 通过大数据分析，探索供应链问题进行深入分析，为实施、产品方向提供数据支持；\xa0任职要求：1. 供应链管理、统计、市场营销等相关专业本科及以上学历；2. 3年以上服装、食品零售行业零售行业经验：熟悉区域、渠道的销售、预测、库存分析；商品分析、店铺分析、经营分析、利润分析；熟悉品类结构优化、门店品类管理、门店促销管理；3. 良好的数据敏感性，熟练使用Excel函数和数据透视表应用；4. 能适应2-3个月的出差,,,,,,,,,,,,,,,,,,
305,数据分析产品经理,https://www.lagou.com/jobs/5770972.html,浦东新区,20k-40k,力引万物（深圳）科技有限公司,5-10年,本科,boss nice、氛围好、国际市场,工作内容1、负责大数据平台功能的设计、研发、交付、检验、纠正、分享工作；2、负责行业大数据的终端和云端产品，了解和抽象各行业的业务模型、定义行业数据字典，提供数据，包含的行业有餐饮、零售、服务、商超、会员等；3、负责完善数据统计体系，建立统一的数据处理标准，及时响应各部门、各团队的数据统计需求，按时提供数据报告；4、定时主动产生各种不同用途的大数据报告，供管理层决策，供部门协作参考；5、数据驱动产品优化：通过系统内容数据和用户行为数据分析，深入理解用户需求，发现行业机会，并通过产品创新来验证、切入与放大竞争力；经\xa0\xa0\xa0\xa0验:1、本科及以上学历；985、211院校毕业优先；2、5年及以上产品经验，至少3年以上数据类产品经验；3、有大型互联网平台数据产品相关工作经验者优先；技能技巧:1、精准的理解力、清晰的表达能力、细腻的沟通协调能力，能够深度思考，有很强的逻辑能力；2、互联网思维：具备互联网产品思维维度及用户价值至上价值观；3、学习能力：动态把握互联网行业运营、用户、技术、产品等；4、具有较强的跨部门沟通及协调能力、能承受一定的工作压力；5、有丰富的产品需求整理、分析、设计经验，具备良好的PRD或MRD的产品文档撰写能力，熟练使用Axure、Visio或其他原型设计软件；6、较强的逻辑思维能力，数据分析能力态\xa0\xa0\xa0\xa0度:1、性格开朗，良好的保密性；抗压能力；应变能力。2、具备很强的责任感和事业心以及自我驱动力；3、强烈的结果导向意识和责任心，对于拿到结果有成熟的方法和计划性；4、良好的职业道德和职业操守，擅于沟通与协调，注重团队合作意识。,,,,,,,,,,,,,,,,,,,,
